,AID,Species,Image,Region,Year,Aircraft,TL,RB,BaroAlt,Launch_Ht,LaserAlt,Altitude,Focal_Length,Iw,Sw,perDif
64,BB190226_A_F3-03-53&18,antarctic minke,190226_A_F3_DSC05448.JPG,WAP,2019,Alta 6,6.33,NA,27.11,1.807,21.82,21.82,35,6000,23.5,32.52520623
65,BB190228_A_F3-01,antarctic minke,190228_A_F3_DSC05852.JPG,WAP,2019,Alta 6,5.97,NA,32.25,1.807,31.91,31.91,35,6000,23.5,6.728298339
66,BB190228_A_F3-01,antarctic minke,190228_A_F3_DSC05965.JPG,WAP,2019,Alta 6,5.7,NA,21,1.807,21.415,21.415,35,6000,23.5,6.500116741
67,BB190228_A_F3-01,antarctic minke,190228_A_F3_DSC05965.JPG,WAP,2019,Alta 6,NA,NA,21,1.807,21.415,21.415,35,6000,23.5,6.500116741
68,BB190228_A_F3-02-18,antarctic minke,190228_A_F3_DSC05895.JPG,WAP,2019,Alta 6,5.92,NA,21.13,1.807,21.565,21.565,35,6000,23.5,6.362160909
69,BB190228_A_F3-02-18,antarctic minke,190228_A_F3_DSC05897.JPG,WAP,2019,Alta 6,6.02,NA,21.13,1.807,21.565,21.565,35,6000,23.5,6.362160909
70,BB190228_A_F5-03-52&53,antarctic minke,190228_A_F5_DSC06104.JPG,WAP,2019,Alta 6,8.65,1.33,37.22,1.807,38.63,38.63,35,6000,23.5,1.02769868
71,BB190228_A_F5-03-52&53,antarctic minke,190228_A_F5_DSC06117.JPG,WAP,2019,Alta 6,8.61,1.25,37.56,1.807,38.93,38.93,35,6000,23.5,1.122527614
72,BB190228_A_F5-03-52&53,antarctic minke,190228_A_F9_DSC06334.JPG,WAP,2019,Alta 6,8.57,NA,28.85,1.807,28.47,28.47,35,6000,23.5,7.681770285
73,BB190228_A_F5-03-52&53,antarctic minke,190302_A_F4_DSC07198.JPG,WAP,2019,Alta 6,8.06,NA,31.18,1.807,28.78,28.78,35,6000,23.5,14.61779013
74,BB190228_A_F5-04,antarctic minke,190228_A_F5_DSC06115.JPG,WAP,2019,Alta 6,8.9,NA,38.1,1.807,38.63,38.63,35,6000,23.5,3.305720942
75,BB190228_A_F5-04,antarctic minke,190306_A_F6_DSC09442.JPG,WAP,2019,Alta 6,9.44,NA,44.01,1.807,41.5,41.5,35,6000,23.5,10.40240964
76,BB190228_A_F5-04,antarctic minke,190306_A_F6_DSC09449.JPG,WAP,2019,Alta 6,9.36,1.51,42.85,1.807,42.07,42.07,35,6000,23.5,6.149275018
77,BB190228_A_F5-04,antarctic minke,190306_A_F6_DSC09573.JPG,WAP,2019,Alta 6,9.2,NA,43,1.807,41.16,41.16,35,6000,23.5,8.860544218
78,BB190228_A_F5-05,antarctic minke,190228_A_F5_DSC06145.JPG,WAP,2019,Alta 6,8.03,1.18,31.06,1.807,32.295,32.295,35,6000,23.5,1.771172008
79,BB190228_A_F8-06-55&52,antarctic minke,190228_A_F8_DSC06080.JPG,WAP,2019,Alta 6,7.05,0.94,37.58,1.807,31.33,31.33,35,6000,23.5,25.71656559
80,BB190228_A_F8-06-55&52,antarctic minke,190228_A_F8_DSC06086.JPG,WAP,2019,Alta 6,6.99,0.91,36.56,1.807,31.33,31.33,35,6000,23.5,22.4609001
81,BB190228_A_F8-06-55&52,antarctic minke,190302_A_F2_DSC07047.JPG,WAP,2019,Alta 6,7.19,NA,40.52,1.807,39.88,39.88,35,6000,23.5,6.135907723
82,BB190228_A_F8-06-55&52,antarctic minke,190306_A_F9_DSC00044.JPG,WAP,2019,Alta 6,6.99,NA,33.1,1.807,30.31,30.31,35,6000,23.5,15.16661168
83,BB190301_A_F1-01,antarctic minke,190306_A_F6_DSC09680.JPG,WAP,2019,Alta 6,7.55,1.11,42.85,1.807,40,40,35,6000,23.5,11.6425
84,BB190301_A_F1-01,antarctic minke,190306_A_F6_DSC09686.JPG,WAP,2019,Alta 6,7.34,1.08,42.8,1.807,40,40,35,6000,23.5,11.5175
